,texts,intents,categories
0,/batdau,beginner,chaohoi
1,/begin,beginner,chaohoi
2,/init,beginner,chaohoi
3,/start,beginner,chaohoi
4,Ai tạo ra bạn?,ana_creator,chaohoi
5,Alo,beginner,chaohoi
6,Ana tạo hộ với,how_create_lixi_box_s1,chaohoi
7,Ana ơi,beginner,chaohoi
8,Are you there,beginner,chaohoi
9,BEP20 là gì,what_is_bep20,term
10,BSC mainnet là gì,what_is_bsc,term
11,Bao lâu lận,complaining,chaohoi
12,Bước tiếp theo,next_step,chaohoi
13,Bạn là ai>,who_are_you,chaohoi
14,Bạn là ai?,who_are_you,chaohoi
15,Bạn ơi mình có rồi nhé,already_had,chaohoi
16,Bắt đầu thôi,beginner,chaohoi
17,Chào,beginner,chaohoi
18,Chào em,beginner,chaohoi
19,Chưa có ví bạn à,have_not_had,vi
20,Chờ bao lâu,complaining,chaohoi
21,Còn bao li xi không ạ,ask_remain_lixi,lixi
22,Có ai ko,beginner,chaohoi
23,Có ai ở đây không?,who_are_you,chaohoi
24,Có rồi,already_had,chaohoi
25,Hello,beginner,chaohoi
26,Hey,beginner,chaohoi
27,Hi,beginner,chaohoi
28,Hi Anna,beginner,chaohoi
29,Hướng dẫn nhận lì xì,register_receiver,lixi
30,Hướng dẫn tạo lì xì,how_create_lixi_box_s1,lixi
31,Không được,negative,chaohoi
32,Liên lạc ntn,ask_communicate,chaohoi
33,Làm sao tiếp bạn ơi,next_step,chaohoi
34,Làm sao để đổi BNB sang VNĐ,crypto_to_fiat,vi
35,Metamask là gì?,what_is_metamask,term
36,Mãi mình ko đc duyệt,complaining,chaohoi
37,Mình có thể mint NFT sau khi nhận bao li xi thế nào!,what_is_nft,term
38,Mình muốn hỏi chút,beginner,chaohoi
39,Mình muốn nhận lì xì,register_receiver,lixi
40,NFT là gì,what_is_nft,term
41,Nhất trí,ok,chaohoi
42,Nhận lxi sao vậy  ad,register_receiver,lixi
43,Nhận lì xì,register_receiver,lixi
44,Nhận lì xì như nào?,register_receiver,lixi
45,Nhận lì xì như thế nào,register_receiver,lixi
46,Nhận lì xì như thế nào?,register_receiver,lixi
47,Sao lâu duyệt quá,complaining,chaohoi
48,Thêm mạng,add_bsc_mainnet,mang
49,Thêm mạng binance,add_bsc_mainnet,mang
50,Thêm mạng bsc,add_bsc_mainnet,mang
51,Thông tin lì xì gồm những gì,how_create_lixi_box_s1,lixi
52,Thông tin lì xì gồm những gì?,how_create_lixi_box_s2,lixi
53,Thông tin mình đã xong chưa ạ,ask_process,chaohoi
54,Tiếp theo tôi phải làm gì?,next_step,chaohoi
55,Trong lì xì có gì?,how_create_lixi_box_s2,lixi
56,Tại sao ko hợp lệ,ask_email_invalid,chaohoi
57,Tạo bao lì xì,how_create_lixi_box_s1,lixi
58,Tạo lì xì như thế nào?,how_create_lixi_box_s1,lixi
59,Xin chào Ana,beginner,chaohoi
60,ai thế nhỉ?,who_are_you,chaohoi
61,ai tạo ra bạn?,ana_creator,chaohoi
62,ai đây nhỉ,who_are_you,chaohoi
63,ai đây ta?,who_are_you,chaohoi
64,alo,beginner,chaohoi
65,bat dau,beginner,chaohoi
66,bsc là cái gì?,what_is_bsc,term
67,bạn là ai,who_are_you,chaohoi
68,bạn là ai?,who_are_you,chaohoi
69,chuyển tiền từ ví binance sang ví metamask như thế nào?,binance_to_metamask,vi
70,chào,beginner,chaohoi
71,chơi cái này kiểu gì?,how_play_jackpot,xoxo
72,chơi xổ số như nào,how_play_jackpot,xoxo
73,chơi xổ số như thế nào,how_play_jackpot,xoxo
